fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
904756544,0000756544,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305621239,0000621239,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305473286,0000473286,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904737973,0000737973,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904739225,0000739225,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904884706,0000884706,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90438016,0000038016,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575050,0000575050,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574979,0000574979,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574993,0000574993,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575010,0000575010,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575014,0000575014,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904614754,0000614754,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904614755,0000614755,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904615269,0000615269,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904617970,0000617970,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689261,0000689261,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689270,0000689270,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905128593,0000128593,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905319071,0000319071,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905312147,0000312147,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
250841993,0000841993,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252707859,0000707859,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252739135,0000739135,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252387513,0000387513,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303335387,0000335387,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251606071,0000606071,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251633939,0000633939,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251639339,0000639339,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251803982,0000803982,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251239593,0000239593,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30530904,0000030904,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305598040,0000598040,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305337324,0000337324,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305489009,0000489009,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668127,0000668127,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305580039,0000580039,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305580042,0000580042,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305404575,0000404575,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305480291,0000480291,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305472421,0000472421,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305520960,0000520960,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305621240,0000621240,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305590553,0000590553,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904792263,0000792263,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904792290,0000792290,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904143472,0000143472,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437986,0000037986,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575059,0000575059,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574999,0000574999,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579587,0000579587,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
